task_id,track,tool,difficulty,data_type,evaluator,scoring_type,task_dir,generator,prompt_path,visible_files_count,hidden_files_count,has_oracle,bug_type,question_type,template,mutant_name,expected_error_category,p3_source,backend
p3_timing_000009,p3_timing_report_qa,pt,hard,template_synthetic,timing_report_qa.TimingReportQAEvaluator,answer_match:1.0,p3_timing_report_qa/generated/p3_timing_000009,p3_timing_report_qa_gen.py,p3_timing_report_qa/generated/p3_timing_000009/prompt.md,2,0,True,,arrival_time,,,,synthetic,pt
p3_timing_000010,p3_timing_report_qa,pt,hard,template_synthetic,timing_report_qa.TimingReportQAEvaluator,answer_match:1.0,p3_timing_report_qa/generated/p3_timing_000010,p3_timing_report_qa_gen.py,p3_timing_report_qa/generated/p3_timing_000010/prompt.md,2,0,True,,slack_of_named_path,,,,synthetic,pt
p3_timing_000011,p3_timing_report_qa,pt,easy,template_synthetic,timing_report_qa.TimingReportQAEvaluator,answer_match:1.0,p3_timing_report_qa/generated/p3_timing_000011,p3_timing_report_qa_gen.py,p3_timing_report_qa/generated/p3_timing_000011/prompt.md,2,0,True,,wns,,,,synthetic,pt
p3_timing_000012,p3_timing_report_qa,pt,easy,template_synthetic,timing_report_qa.TimingReportQAEvaluator,answer_match:1.0,p3_timing_report_qa/generated/p3_timing_000012,p3_timing_report_qa_gen.py,p3_timing_report_qa/generated/p3_timing_000012/prompt.md,2,0,True,,tns,,,,synthetic,pt
p3_timing_000013,p3_timing_report_qa,pt,medium,template_synthetic,timing_report_qa.TimingReportQAEvaluator,answer_match:1.0,p3_timing_report_qa/generated/p3_timing_000013,p3_timing_report_qa_gen.py,p3_timing_report_qa/generated/p3_timing_000013/prompt.md,2,0,True,,worst_endpoint,,,,synthetic,pt
p3_timing_000014,p3_timing_report_qa,pt,medium,template_synthetic,timing_report_qa.TimingReportQAEvaluator,answer_match:1.0,p3_timing_report_qa/generated/p3_timing_000014,p3_timing_report_qa_gen.py,p3_timing_report_qa/generated/p3_timing_000014/prompt.md,2,0,True,,worst_startpoint,,,,synthetic,pt
p3_timing_000015,p3_timing_report_qa,pt,easy,template_synthetic,timing_report_qa.TimingReportQAEvaluator,answer_match:1.0,p3_timing_report_qa/generated/p3_timing_000015,p3_timing_report_qa_gen.py,p3_timing_report_qa/generated/p3_timing_000015/prompt.md,2,0,True,,violating_paths,,,,synthetic,pt
p3_timing_000016,p3_timing_report_qa,pt,medium,template_synthetic,timing_report_qa.TimingReportQAEvaluator,answer_match:1.0,p3_timing_report_qa/generated/p3_timing_000016,p3_timing_report_qa_gen.py,p3_timing_report_qa/generated/p3_timing_000016/prompt.md,2,0,True,,path_group,,,,synthetic,pt
p3_timing_000017,p3_timing_report_qa,pt,medium,template_synthetic,timing_report_qa.TimingReportQAEvaluator,answer_match:1.0,p3_timing_report_qa/generated/p3_timing_000017,p3_timing_report_qa_gen.py,p3_timing_report_qa/generated/p3_timing_000017/prompt.md,2,0,True,,clock_name,,,,synthetic,pt
p3_timing_000018,p3_timing_report_qa,pt,hard,template_synthetic,timing_report_qa.TimingReportQAEvaluator,answer_match:1.0,p3_timing_report_qa/generated/p3_timing_000018,p3_timing_report_qa_gen.py,p3_timing_report_qa/generated/p3_timing_000018/prompt.md,2,0,True,,required_time,,,,synthetic,pt
p3_timing_000019,p3_timing_report_qa,pt,hard,template_synthetic,timing_report_qa.TimingReportQAEvaluator,answer_match:1.0,p3_timing_report_qa/generated/p3_timing_000019,p3_timing_report_qa_gen.py,p3_timing_report_qa/generated/p3_timing_000019/prompt.md,2,0,True,,arrival_time,,,,synthetic,pt
p3_timing_000020,p3_timing_report_qa,pt,hard,template_synthetic,timing_report_qa.TimingReportQAEvaluator,answer_match:1.0,p3_timing_report_qa/generated/p3_timing_000020,p3_timing_report_qa_gen.py,p3_timing_report_qa/generated/p3_timing_000020/prompt.md,2,0,True,,slack_of_named_path,,,,synthetic,pt
p3_timing_000021,p3_timing_report_qa,pt,easy,template_synthetic,timing_report_qa.TimingReportQAEvaluator,answer_match:1.0,p3_timing_report_qa/generated/p3_timing_000021,p3_timing_report_qa_gen.py,p3_timing_report_qa/generated/p3_timing_000021/prompt.md,2,0,True,,wns,,,,synthetic,pt
p3_timing_000022,p3_timing_report_qa,pt,easy,template_synthetic,timing_report_qa.TimingReportQAEvaluator,answer_match:1.0,p3_timing_report_qa/generated/p3_timing_000022,p3_timing_report_qa_gen.py,p3_timing_report_qa/generated/p3_timing_000022/prompt.md,2,0,True,,tns,,,,synthetic,pt
p3_timing_000023,p3_timing_report_qa,pt,medium,template_synthetic,timing_report_qa.TimingReportQAEvaluator,answer_match:1.0,p3_timing_report_qa/generated/p3_timing_000023,p3_timing_report_qa_gen.py,p3_timing_report_qa/generated/p3_timing_000023/prompt.md,2,0,True,,worst_endpoint,,,,synthetic,pt
p3_timing_000024,p3_timing_report_qa,pt,medium,template_synthetic,timing_report_qa.TimingReportQAEvaluator,answer_match:1.0,p3_timing_report_qa/generated/p3_timing_000024,p3_timing_report_qa_gen.py,p3_timing_report_qa/generated/p3_timing_000024/prompt.md,2,0,True,,worst_startpoint,,,,synthetic,pt
p3_timing_000025,p3_timing_report_qa,pt,easy,template_synthetic,timing_report_qa.TimingReportQAEvaluator,answer_match:1.0,p3_timing_report_qa/generated/p3_timing_000025,p3_timing_report_qa_gen.py,p3_timing_report_qa/generated/p3_timing_000025/prompt.md,2,0,True,,violating_paths,,,,synthetic,pt
p3_timing_000026,p3_timing_report_qa,pt,medium,template_synthetic,timing_report_qa.TimingReportQAEvaluator,answer_match:1.0,p3_timing_report_qa/generated/p3_timing_000026,p3_timing_report_qa_gen.py,p3_timing_report_qa/generated/p3_timing_000026/prompt.md,2,0,True,,path_group,,,,synthetic,pt
p3_timing_000027,p3_timing_report_qa,pt,medium,template_synthetic,timing_report_qa.TimingReportQAEvaluator,answer_match:1.0,p3_timing_report_qa/generated/p3_timing_000027,p3_timing_report_qa_gen.py,p3_timing_report_qa/generated/p3_timing_000027/prompt.md,2,0,True,,clock_name,,,,synthetic,pt
p3_timing_000028,p3_timing_report_qa,pt,hard,template_synthetic,timing_report_qa.TimingReportQAEvaluator,answer_match:1.0,p3_timing_report_qa/generated/p3_timing_000028,p3_timing_report_qa_gen.py,p3_timing_report_qa/generated/p3_timing_000028/prompt.md,2,0,True,,required_time,,,,synthetic,pt
p3_timing_000029,p3_timing_report_qa,pt,hard,template_synthetic,timing_report_qa.TimingReportQAEvaluator,answer_match:1.0,p3_timing_report_qa/generated/p3_timing_000029,p3_timing_report_qa_gen.py,p3_timing_report_qa/generated/p3_timing_000029/prompt.md,2,0,True,,arrival_time,,,,synthetic,pt
p3_timing_000030,p3_timing_report_qa,pt,hard,template_synthetic,timing_report_qa.TimingReportQAEvaluator,answer_match:1.0,p3_timing_report_qa/generated/p3_timing_000030,p3_timing_report_qa_gen.py,p3_timing_report_qa/generated/p3_timing_000030/prompt.md,2,0,True,,slack_of_named_path,,,,synthetic,pt
p3_timing_000031,p3_timing_report_qa,pt,easy,template_synthetic,timing_report_qa.TimingReportQAEvaluator,answer_match:1.0,p3_timing_report_qa/generated/p3_timing_000031,p3_timing_report_qa_gen.py,p3_timing_report_qa/generated/p3_timing_000031/prompt.md,2,0,True,,wns,,,,synthetic,pt
p3_timing_000032,p3_timing_report_qa,pt,easy,template_synthetic,timing_report_qa.TimingReportQAEvaluator,answer_match:1.0,p3_timing_report_qa/generated/p3_timing_000032,p3_timing_report_qa_gen.py,p3_timing_report_qa/generated/p3_timing_000032/prompt.md,2,0,True,,tns,,,,synthetic,pt
p3_timing_000033,p3_timing_report_qa,pt,medium,template_synthetic,timing_report_qa.TimingReportQAEvaluator,answer_match:1.0,p3_timing_report_qa/generated/p3_timing_000033,p3_timing_report_qa_gen.py,p3_timing_report_qa/generated/p3_timing_000033/prompt.md,2,0,True,,worst_endpoint,,,,synthetic,pt
p3_timing_000034,p3_timing_report_qa,pt,medium,template_synthetic,timing_report_qa.TimingReportQAEvaluator,answer_match:1.0,p3_timing_report_qa/generated/p3_timing_000034,p3_timing_report_qa_gen.py,p3_timing_report_qa/generated/p3_timing_000034/prompt.md,2,0,True,,worst_startpoint,,,,synthetic,pt
p3_timing_000035,p3_timing_report_qa,pt,easy,template_synthetic,timing_report_qa.TimingReportQAEvaluator,answer_match:1.0,p3_timing_report_qa/generated/p3_timing_000035,p3_timing_report_qa_gen.py,p3_timing_report_qa/generated/p3_timing_000035/prompt.md,2,0,True,,violating_paths,,,,synthetic,pt
p3_timing_000036,p3_timing_report_qa,pt,medium,template_synthetic,timing_report_qa.TimingReportQAEvaluator,answer_match:1.0,p3_timing_report_qa/generated/p3_timing_000036,p3_timing_report_qa_gen.py,p3_timing_report_qa/generated/p3_timing_000036/prompt.md,2,0,True,,path_group,,,,synthetic,pt
p3_timing_000037,p3_timing_report_qa,pt,medium,template_synthetic,timing_report_qa.TimingReportQAEvaluator,answer_match:1.0,p3_timing_report_qa/generated/p3_timing_000037,p3_timing_report_qa_gen.py,p3_timing_report_qa/generated/p3_timing_000037/prompt.md,2,0,True,,clock_name,,,,synthetic,pt
p3_timing_000038,p3_timing_report_qa,pt,hard,template_synthetic,timing_report_qa.TimingReportQAEvaluator,answer_match:1.0,p3_timing_report_qa/generated/p3_timing_000038,p3_timing_report_qa_gen.py,p3_timing_report_qa/generated/p3_timing_000038/prompt.md,2,0,True,,required_time,,,,synthetic,pt
p3_timing_000039,p3_timing_report_qa,pt,hard,template_synthetic,timing_report_qa.TimingReportQAEvaluator,answer_match:1.0,p3_timing_report_qa/generated/p3_timing_000039,p3_timing_report_qa_gen.py,p3_timing_report_qa/generated/p3_timing_000039/prompt.md,2,0,True,,arrival_time,,,,synthetic,pt
p3_timing_000040,p3_timing_report_qa,pt,hard,template_synthetic,timing_report_qa.TimingReportQAEvaluator,answer_match:1.0,p3_timing_report_qa/generated/p3_timing_000040,p3_timing_report_qa_gen.py,p3_timing_report_qa/generated/p3_timing_000040/prompt.md,2,0,True,,slack_of_named_path,,,,synthetic,pt
p3_timing_000041,p3_timing_report_qa,pt,easy,template_synthetic,timing_report_qa.TimingReportQAEvaluator,answer_match:1.0,p3_timing_report_qa/generated/p3_timing_000041,p3_timing_report_qa_gen.py,p3_timing_report_qa/generated/p3_timing_000041/prompt.md,2,0,True,,wns,,,,synthetic,pt
p3_timing_000042,p3_timing_report_qa,pt,easy,template_synthetic,timing_report_qa.TimingReportQAEvaluator,answer_match:1.0,p3_timing_report_qa/generated/p3_timing_000042,p3_timing_report_qa_gen.py,p3_timing_report_qa/generated/p3_timing_000042/prompt.md,2,0,True,,tns,,,,synthetic,pt
p3_timing_000043,p3_timing_report_qa,pt,medium,template_synthetic,timing_report_qa.TimingReportQAEvaluator,answer_match:1.0,p3_timing_report_qa/generated/p3_timing_000043,p3_timing_report_qa_gen.py,p3_timing_report_qa/generated/p3_timing_000043/prompt.md,2,0,True,,worst_endpoint,,,,synthetic,pt
p3_timing_000044,p3_timing_report_qa,pt,medium,template_synthetic,timing_report_qa.TimingReportQAEvaluator,answer_match:1.0,p3_timing_report_qa/generated/p3_timing_000044,p3_timing_report_qa_gen.py,p3_timing_report_qa/generated/p3_timing_000044/prompt.md,2,0,True,,worst_startpoint,,,,synthetic,pt
p3_timing_000045,p3_timing_report_qa,pt,easy,template_synthetic,timing_report_qa.TimingReportQAEvaluator,answer_match:1.0,p3_timing_report_qa/generated/p3_timing_000045,p3_timing_report_qa_gen.py,p3_timing_report_qa/generated/p3_timing_000045/prompt.md,2,0,True,,violating_paths,,,,synthetic,pt
p3_timing_000046,p3_timing_report_qa,pt,medium,template_synthetic,timing_report_qa.TimingReportQAEvaluator,answer_match:1.0,p3_timing_report_qa/generated/p3_timing_000046,p3_timing_report_qa_gen.py,p3_timing_report_qa/generated/p3_timing_000046/prompt.md,2,0,True,,path_group,,,,synthetic,pt
p3_timing_000047,p3_timing_report_qa,pt,medium,template_synthetic,timing_report_qa.TimingReportQAEvaluator,answer_match:1.0,p3_timing_report_qa/generated/p3_timing_000047,p3_timing_report_qa_gen.py,p3_timing_report_qa/generated/p3_timing_000047/prompt.md,2,0,True,,clock_name,,,,synthetic,pt
p3_timing_000048,p3_timing_report_qa,pt,hard,template_synthetic,timing_report_qa.TimingReportQAEvaluator,answer_match:1.0,p3_timing_report_qa/generated/p3_timing_000048,p3_timing_report_qa_gen.py,p3_timing_report_qa/generated/p3_timing_000048/prompt.md,2,0,True,,required_time,,,,synthetic,pt
p3_timing_000049,p3_timing_report_qa,pt,hard,template_synthetic,timing_report_qa.TimingReportQAEvaluator,answer_match:1.0,p3_timing_report_qa/generated/p3_timing_000049,p3_timing_report_qa_gen.py,p3_timing_report_qa/generated/p3_timing_000049/prompt.md,2,0,True,,arrival_time,,,,synthetic,pt
p3_timing_000050,p3_timing_report_qa,pt,hard,template_synthetic,timing_report_qa.TimingReportQAEvaluator,answer_match:1.0,p3_timing_report_qa/generated/p3_timing_000050,p3_timing_report_qa_gen.py,p3_timing_report_qa/generated/p3_timing_000050/prompt.md,2,0,True,,slack_of_named_path,,,,synthetic,pt
p3_timing_000051,p3_timing_report_qa,pt,easy,template_synthetic,timing_report_qa.TimingReportQAEvaluator,answer_match:1.0,p3_timing_report_qa/generated/p3_timing_000051,p3_timing_report_qa_gen.py,p3_timing_report_qa/generated/p3_timing_000051/prompt.md,2,0,True,,wns,,,,synthetic,pt
p3_timing_000052,p3_timing_report_qa,pt,easy,template_synthetic,timing_report_qa.TimingReportQAEvaluator,answer_match:1.0,p3_timing_report_qa/generated/p3_timing_000052,p3_timing_report_qa_gen.py,p3_timing_report_qa/generated/p3_timing_000052/prompt.md,2,0,True,,tns,,,,synthetic,pt
p3_timing_000053,p3_timing_report_qa,pt,medium,template_synthetic,timing_report_qa.TimingReportQAEvaluator,answer_match:1.0,p3_timing_report_qa/generated/p3_timing_000053,p3_timing_report_qa_gen.py,p3_timing_report_qa/generated/p3_timing_000053/prompt.md,2,0,True,,worst_endpoint,,,,synthetic,pt
p3_timing_000054,p3_timing_report_qa,pt,medium,template_synthetic,timing_report_qa.TimingReportQAEvaluator,answer_match:1.0,p3_timing_report_qa/generated/p3_timing_000054,p3_timing_report_qa_gen.py,p3_timing_report_qa/generated/p3_timing_000054/prompt.md,2,0,True,,worst_startpoint,,,,synthetic,pt
p3_timing_000055,p3_timing_report_qa,pt,easy,template_synthetic,timing_report_qa.TimingReportQAEvaluator,answer_match:1.0,p3_timing_report_qa/generated/p3_timing_000055,p3_timing_report_qa_gen.py,p3_timing_report_qa/generated/p3_timing_000055/prompt.md,2,0,True,,violating_paths,,,,synthetic,pt
p3_timing_000056,p3_timing_report_qa,pt,medium,template_synthetic,timing_report_qa.TimingReportQAEvaluator,answer_match:1.0,p3_timing_report_qa/generated/p3_timing_000056,p3_timing_report_qa_gen.py,p3_timing_report_qa/generated/p3_timing_000056/prompt.md,2,0,True,,path_group,,,,synthetic,pt
p3_timing_000057,p3_timing_report_qa,pt,medium,template_synthetic,timing_report_qa.TimingReportQAEvaluator,answer_match:1.0,p3_timing_report_qa/generated/p3_timing_000057,p3_timing_report_qa_gen.py,p3_timing_report_qa/generated/p3_timing_000057/prompt.md,2,0,True,,clock_name,,,,synthetic,pt
p3_timing_000058,p3_timing_report_qa,pt,hard,template_synthetic,timing_report_qa.TimingReportQAEvaluator,answer_match:1.0,p3_timing_report_qa/generated/p3_timing_000058,p3_timing_report_qa_gen.py,p3_timing_report_qa/generated/p3_timing_000058/prompt.md,2,0,True,,required_time,,,,synthetic,pt
p3_timing_000059,p3_timing_report_qa,pt,hard,template_synthetic,timing_report_qa.TimingReportQAEvaluator,answer_match:1.0,p3_timing_report_qa/generated/p3_timing_000059,p3_timing_report_qa_gen.py,p3_timing_report_qa/generated/p3_timing_000059/prompt.md,2,0,True,,arrival_time,,,,synthetic,pt
p3_timing_000060,p3_timing_report_qa,pt,hard,template_synthetic,timing_report_qa.TimingReportQAEvaluator,answer_match:1.0,p3_timing_report_qa/generated/p3_timing_000060,p3_timing_report_qa_gen.py,p3_timing_report_qa/generated/p3_timing_000060/prompt.md,2,0,True,,slack_of_named_path,,,,synthetic,pt
p3_timing_000061,p3_timing_report_qa,pt,easy,template_synthetic,timing_report_qa.TimingReportQAEvaluator,answer_match:1.0,p3_timing_report_qa/generated/p3_timing_000061,p3_timing_report_qa_gen.py,p3_timing_report_qa/generated/p3_timing_000061/prompt.md,2,0,True,,wns,,,,synthetic,pt
p3_timing_000062,p3_timing_report_qa,pt,easy,template_synthetic,timing_report_qa.TimingReportQAEvaluator,answer_match:1.0,p3_timing_report_qa/generated/p3_timing_000062,p3_timing_report_qa_gen.py,p3_timing_report_qa/generated/p3_timing_000062/prompt.md,2,0,True,,tns,,,,synthetic,pt
p3_timing_000063,p3_timing_report_qa,pt,medium,template_synthetic,timing_report_qa.TimingReportQAEvaluator,answer_match:1.0,p3_timing_report_qa/generated/p3_timing_000063,p3_timing_report_qa_gen.py,p3_timing_report_qa/generated/p3_timing_000063/prompt.md,2,0,True,,worst_endpoint,,,,synthetic,pt
p3_timing_000064,p3_timing_report_qa,pt,medium,template_synthetic,timing_report_qa.TimingReportQAEvaluator,answer_match:1.0,p3_timing_report_qa/generated/p3_timing_000064,p3_timing_report_qa_gen.py,p3_timing_report_qa/generated/p3_timing_000064/prompt.md,2,0,True,,worst_startpoint,,,,synthetic,pt
p3_timing_000065,p3_timing_report_qa,pt,easy,template_synthetic,timing_report_qa.TimingReportQAEvaluator,answer_match:1.0,p3_timing_report_qa/generated/p3_timing_000065,p3_timing_report_qa_gen.py,p3_timing_report_qa/generated/p3_timing_000065/prompt.md,2,0,True,,violating_paths,,,,synthetic,pt
p3_timing_000066,p3_timing_report_qa,pt,medium,template_synthetic,timing_report_qa.TimingReportQAEvaluator,answer_match:1.0,p3_timing_report_qa/generated/p3_timing_000066,p3_timing_report_qa_gen.py,p3_timing_report_qa/generated/p3_timing_000066/prompt.md,2,0,True,,path_group,,,,synthetic,pt
p3_timing_000067,p3_timing_report_qa,pt,medium,template_synthetic,timing_report_qa.TimingReportQAEvaluator,answer_match:1.0,p3_timing_report_qa/generated/p3_timing_000067,p3_timing_report_qa_gen.py,p3_timing_report_qa/generated/p3_timing_000067/prompt.md,2,0,True,,clock_name,,,,synthetic,pt
p3_timing_000068,p3_timing_report_qa,pt,hard,template_synthetic,timing_report_qa.TimingReportQAEvaluator,answer_match:1.0,p3_timing_report_qa/generated/p3_timing_000068,p3_timing_report_qa_gen.py,p3_timing_report_qa/generated/p3_timing_000068/prompt.md,2,0,True,,required_time,,,,synthetic,pt
p3_timing_000069,p3_timing_report_qa,pt,hard,template_synthetic,timing_report_qa.TimingReportQAEvaluator,answer_match:1.0,p3_timing_report_qa/generated/p3_timing_000069,p3_timing_report_qa_gen.py,p3_timing_report_qa/generated/p3_timing_000069/prompt.md,2,0,True,,arrival_time,,,,synthetic,pt
p3_timing_000070,p3_timing_report_qa,pt,hard,template_synthetic,timing_report_qa.TimingReportQAEvaluator,answer_match:1.0,p3_timing_report_qa/generated/p3_timing_000070,p3_timing_report_qa_gen.py,p3_timing_report_qa/generated/p3_timing_000070/prompt.md,2,0,True,,slack_of_named_path,,,,synthetic,pt
p3_timing_000071,p3_timing_report_qa,pt,easy,template_synthetic,timing_report_qa.TimingReportQAEvaluator,answer_match:1.0,p3_timing_report_qa/generated/p3_timing_000071,p3_timing_report_qa_gen.py,p3_timing_report_qa/generated/p3_timing_000071/prompt.md,2,0,True,,wns,,,,synthetic,pt
p3_timing_000072,p3_timing_report_qa,pt,easy,template_synthetic,timing_report_qa.TimingReportQAEvaluator,answer_match:1.0,p3_timing_report_qa/generated/p3_timing_000072,p3_timing_report_qa_gen.py,p3_timing_report_qa/generated/p3_timing_000072/prompt.md,2,0,True,,tns,,,,synthetic,pt
